"cod_municipio","municipio","estado","valor"
1720655,Silvanópolis,TO,5290
1720804,Sítio Novo do Tocantins,TO,80
1720853,Sucupira,TO,680
1720903,Taguatinga,TO,350
1720937,Taipas do Tocantins,TO,75
1720978,Talismã,TO,1600
1721000,Palmas,TO,6412
1721109,Tocantínia,TO,165
1721208,Tocantinópolis,TO,172
1721257,Tupirama,TO,4950
1722081,Wanderlândia,TO,820
1722107,Xambioá,TO,700
2100055,Açailândia,MA,7797
2100105,Afonso Cunha,MA,170
2100154,Água Doce do Maranhão,MA,467
2100204,Alcântara,MA,119
2100303,Aldeias Altas,MA,770
2100402,Altamira do Maranhão,MA,350
2100436,Alto Alegre do Maranhão,MA,210
2100477,Alto Alegre do Pindaré,MA,81
2100501,Alto Parnaíba,MA,16345
2100550,Amapá do Maranhão,MA,80
2100600,Amarante do Maranhão,MA,1300
2100709,Anajatuba,MA,275
2100808,Anapurus,MA,1250
2100832,Apicum-Açu,MA,80
2100873,Araguanã,MA,100
2100907,Araioses,MA,183
2100956,Arame,MA,1575
2101004,Arari,MA,350
2101103,Axixá,MA,25
2101202,Bacabal,MA,1225
2101251,Bacabeira,MA,29
2101301,Bacuri,MA,337
2101350,Bacurituba,MA,33
2101400,Balsas,MA,114833
2101509,Barão de Grajaú,MA,395
2101608,Barra do Corda,MA,2160
2101707,Barreirinhas,MA,128
2101731,Belágua,MA,131
2101772,Bela Vista do Maranhão,MA,34
2101806,Benedito Leite,MA,187
2101905,Bequimão,MA,544
2101939,Bernardo do Mearim,MA,112
2101970,Boa Vista do Gurupi,MA,28
2102002,Bom Jardim,MA,1200
2102036,Bom Jesus das Selvas,MA,4965
2102077,Bom Lugar,MA,390
2102101,Brejo,MA,1350
2102150,Brejo de Areia,MA,373
2102200,Buriti,MA,1150
2102309,Buriti Bravo,MA,2300
2102325,Buriticupu,MA,4200
2102358,Buritirana,MA,215
2102374,Cachoeira Grande,MA,48
2102408,Cajapió,MA,87
2102507,Cajari,MA,270
2102556,Campestre do Maranhão,MA,142
2102606,Cândido Mendes,MA,200
2102705,Cantanhede,MA,508
2102754,Capinzal do Norte,MA,376
2102804,Carolina,MA,21503
2102903,Carutapera,MA,70
2103000,Caxias,MA,2000
2103109,Cedral,MA,100
2103125,Central do Maranhão,MA,67
